Entry Name	Length	organism
LIPT2_HUMAN	231	human
RASFA_HUMAN	507	human
PCX2_HUMAN	2137	human
ARI3C_HUMAN	412	human
CO6A6_HUMAN	2263	human
IFM5_HUMAN	132	human
TTL13_HUMAN	815	human
S38A8_HUMAN	435	human
UBP27_HUMAN	438	human
TBB8B_HUMAN	444	human
TTLL8_HUMAN	850	human
ZSWM8_HUMAN	1837	human
MYH7B_HUMAN	1983	human
RHG32_HUMAN	2087	human
TBKB1_HUMAN	615	human
SRRM4_HUMAN	611	human
SOBP_HUMAN	873	human
P121C_HUMAN	1229	human
WASH1_HUMAN	465	human
A2ML1_HUMAN	1454	human
CLM7_HUMAN	201	human
CLCA1_HUMAN	914	human
OCAT2_HUMAN	251	human
SFI1_HUMAN	1242	human
ZN785_HUMAN	405	human
GBRR3_HUMAN	467	human
CRTP1_HUMAN	144	human
NEU1B_HUMAN	555	human
CENPX_HUMAN	81	human
CMI2B_HUMAN	275	human
GNAT3_HUMAN	354	human
FOXI3_HUMAN	420	human
NOTO_HUMAN	251	human
BBIP1_HUMAN	92	human
SMTL1_HUMAN	494	human
CSKMT_HUMAN	240	human
VGLL3_HUMAN	326	human
HECA2_HUMAN	462	human
P20L1_HUMAN	1017	human
BECN2_HUMAN	431	human
MEI4_HUMAN	385	human
GRCR1_HUMAN	290	human
NUD19_HUMAN	375	human
KCNU1_HUMAN	1149	human
LEUTX_HUMAN	198	human
CO6A5_HUMAN	2615	human
IMA8_HUMAN	516	human
MI4GD_HUMAN	222	human
AHRR_HUMAN	701	human
MYO1G_HUMAN	1018	human
DESPR_HUMAN	85	human
HACD1_HUMAN	288	human
ESPN_HUMAN	854	human
MYO9A_HUMAN	2548	human
VWC2L_HUMAN	222	human
SMIM1_HUMAN	78	human
ZBT42_HUMAN	422	human
KDM4E_HUMAN	506	human
IQIP1_HUMAN	563	human
TARM1_HUMAN	271	human
KCJ18_HUMAN	433	human
GPHRA_HUMAN	455	human
WASH3_HUMAN	463	human
PATL2_HUMAN	543	human
MCRI1_HUMAN	97	human
KBTBD_HUMAN	458	human
AK1BF_HUMAN	316	human
KLRF2_HUMAN	207	human
MCIN_HUMAN	385	human
STMP1_HUMAN	47	human
SO1BT_HUMAN	687	human
SUMO5_HUMAN	101	human
TM250_HUMAN	139	human
TGR3L_HUMAN	292	human
SIM22_HUMAN	83	human
IFNL4_HUMAN	179	human
MIDUO_HUMAN	70	human
DCDC1_HUMAN	1783	human
DNS2A_HUMAN	360	human
ADAS_HUMAN	658	human
UBXN8_HUMAN	270	human
KIF2A_HUMAN	706	human
SGK1_HUMAN	431	human
KITM_HUMAN	265	human
FZD9_HUMAN	591	human
DX39A_HUMAN	427	human
PDLI1_HUMAN	329	human
BACH_HUMAN	380	human
GPR25_HUMAN	361	human
MYO1C_HUMAN	1063	human
MYO1F_HUMAN	1098	human
SNP23_HUMAN	211	human
HAX1_HUMAN	279	human
EYA2_HUMAN	538	human
PLM_HUMAN	92	human
AIP_HUMAN	330	human
CCL24_HUMAN	119	human
GTPB1_HUMAN	669	human
KCNK1_HUMAN	336	human
LEG9_HUMAN	355	human
STXB3_HUMAN	592	human
MASP2_HUMAN	686	human
AP4M1_HUMAN	453	human
ARVC_HUMAN	962	human
RB27B_HUMAN	218	human
HRK_HUMAN	91	human
AP3B1_HUMAN	1094	human
ST2B1_HUMAN	365	human
TLR4_HUMAN	839	human
RHOD_HUMAN	210	human
APBB1_HUMAN	710	human
LEG8_HUMAN	317	human
NDUS8_HUMAN	210	human
HYAS3_HUMAN	553	human
TR10A_HUMAN	468	human
IKBE_HUMAN	500	human
GRM8_HUMAN	908	human
PSD11_HUMAN	422	human
PSD12_HUMAN	456	human
PSMD9_HUMAN	223	human
RN103_HUMAN	685	human
BMR1B_HUMAN	502	human
SIRB1_HUMAN	398	human
ATOX1_HUMAN	68	human
AGRP_HUMAN	132	human
PAR3_HUMAN	374	human
MEN1_HUMAN	610	human
CBX4_HUMAN	560	human
GET1_HUMAN	174	human
PGRC1_HUMAN	195	human
SPT5H_HUMAN	1087	human
TAF4_HUMAN	1085	human
GPR31_HUMAN	319	human
DFFA_HUMAN	331	human
RFXAP_HUMAN	272	human
HIP1_HUMAN	1037	human
LFTY2_HUMAN	366	human
TULP1_HUMAN	542	human
CLIC1_HUMAN	241	human
TR11B_HUMAN	401	human
EIF3F_HUMAN	357	human
CACB4_HUMAN	520	human
WWP2_HUMAN	870	human
CDC7_HUMAN	574	human
UPK1A_HUMAN	258	human
BMAL1_HUMAN	626	human
PK3CD_HUMAN	1044	human
ODPX_HUMAN	501	human
S28A1_HUMAN	649	human
ST1C2_HUMAN	296	human
MATN2_HUMAN	956	human
EAA5_HUMAN	560	human
FOXE1_HUMAN	373	human
LORF2_HUMAN	1275	human
QSOX1_HUMAN	747	human
DCTN6_HUMAN	190	human
ACATN_HUMAN	549	human
WASL_HUMAN	505	human
PDE2A_HUMAN	941	human
FOXN3_HUMAN	490	human
IPO5_HUMAN	1097	human
RPOM_HUMAN	1230	human
EF2K_HUMAN	725	human
CCRL2_HUMAN	344	human
SAP18_HUMAN	153	human
EMAL1_HUMAN	815	human
IF2B3_HUMAN	579	human
DNM1L_HUMAN	736	human
RTCA_HUMAN	366	human
P3C2A_HUMAN	1686	human
PLK4_HUMAN	970	human
SYT5_HUMAN	386	human
GFRA2_HUMAN	464	human
LST1_HUMAN	97	human
P85B_HUMAN	728	human
GOLI4_HUMAN	696	human
MANBA_HUMAN	879	human
TRAF5_HUMAN	557	human
AGRIN_HUMAN	2068	human
PLOD2_HUMAN	737	human
MEIS1_HUMAN	390	human
EXOC5_HUMAN	708	human
ELL2_HUMAN	640	human
NPT4_HUMAN	420	human
BT3A3_HUMAN	584	human
BT3A1_HUMAN	513	human
NR5A2_HUMAN	541	human
NDUA4_HUMAN	81	human
PSDE_HUMAN	310	human
ZN593_HUMAN	134	human
BIN1_HUMAN	593	human
CLD5_HUMAN	218	human
IMA4_HUMAN	521	human
STK25_HUMAN	426	human
USP9Y_HUMAN	2555	human
BCL9_HUMAN	1426	human
FAAH1_HUMAN	579	human
KRIT1_HUMAN	736	human
UPK2_HUMAN	184	human
NCHL1_HUMAN	1208	human
PESC_HUMAN	588	human
DLL1_HUMAN	723	human
CAC1A_HUMAN	2506	human
RCAS1_HUMAN	213	human
SDCB1_HUMAN	298	human
PITM1_HUMAN	1244	human
MPP10_HUMAN	681	human
NOP56_HUMAN	594	human
DDX3X_HUMAN	662	human
CXCR6_HUMAN	342	human
RNT2_HUMAN	256	human
CCL21_HUMAN	134	human
MFNG_HUMAN	321	human
ACKR2_HUMAN	384	human
GBRP_HUMAN	440	human
PODXL_HUMAN	558	human
FCN1_HUMAN	326	human
CCN1_HUMAN	381	human
PEX12_HUMAN	359	human
NPT3_HUMAN	439	human
PIR_HUMAN	290	human
CCL22_HUMAN	93	human
PEX7_HUMAN	323	human
IMA3_HUMAN	521	human
SARCO_HUMAN	31	human
TRI38_HUMAN	465	human
NFIB_HUMAN	420	human
E2F3_HUMAN	465	human
PPP6_HUMAN	305	human
WN10B_HUMAN	389	human
NDKM_HUMAN	187	human
EST2_HUMAN	559	human
P3C2B_HUMAN	1634	human
MA2B1_HUMAN	1011	human
WNT7A_HUMAN	349	human
F16P2_HUMAN	339	human
UBE2C_HUMAN	179	human
ACACB_HUMAN	2458	human
PDXK_HUMAN	312	human
SCD_HUMAN	359	human
DLGP1_HUMAN	977	human
SH2B2_HUMAN	632	human
CLD4_HUMAN	209	human
PLPP1_HUMAN	284	human
PLPP3_HUMAN	311	human
ARI1A_HUMAN	2285	human
BHE40_HUMAN	412	human
SOCS2_HUMAN	198	human
NRG2_HUMAN	850	human
SOCS7_HUMAN	581	human
NCKP5_HUMAN	1909	human
AGRB1_HUMAN	1584	human
CDKA1_HUMAN	115	human
AQP7_HUMAN	342	human
DHSD_HUMAN	159	human
PTPRT_HUMAN	1441	human
C2C2L_HUMAN	706	human
NEMP1_HUMAN	444	human
ASTN1_HUMAN	1302	human
FCHO1_HUMAN	889	human
CUX2_HUMAN	1486	human
TXND9_HUMAN	226	human
DPYL4_HUMAN	572	human
SOCS3_HUMAN	225	human
SOCS6_HUMAN	535	human
CO72L_HUMAN	114	human
G3PT_HUMAN	408	human
HSPB6_HUMAN	160	human
RHG33_HUMAN	1287	human
ACPM_HUMAN	156	human
C56D2_HUMAN	222	human
DC1I1_HUMAN	645	human
CTRO_HUMAN	2027	human
COPE_HUMAN	308	human
RFXK_HUMAN	260	human
NCAN_HUMAN	1321	human
CTDS2_HUMAN	271	human
UTY_HUMAN	1347	human
GBGT2_HUMAN	69	human
BORG1_HUMAN	210	human
AP3D1_HUMAN	1153	human
CCS_HUMAN	274	human
CXL11_HUMAN	94	human
CDX4_HUMAN	284	human
ZN195_HUMAN	629	human
LCE2B_HUMAN	110	human
ENPP3_HUMAN	875	human
ABLM1_HUMAN	778	human
DVL1_HUMAN	695	human
DVL2_HUMAN	736	human
IDLC_HUMAN	258	human
CHD1_HUMAN	1710	human
CHD2_HUMAN	1828	human
KCNK3_HUMAN	394	human
GOSR2_HUMAN	212	human
IRS4_HUMAN	1257	human
TOR1A_HUMAN	332	human
TOR1B_HUMAN	336	human
STX16_HUMAN	325	human
TMG2_HUMAN	202	human
ADA10_HUMAN	748	human
ABCD4_HUMAN	606	human
EI24_HUMAN	340	human
ENC1_HUMAN	589	human
PTGES_HUMAN	152	human
KMT2D_HUMAN	5537	human
ITBP1_HUMAN	200	human
TRDMT_HUMAN	391	human
APAF_HUMAN	1248	human
RIOK3_HUMAN	519	human
IMPA2_HUMAN	288	human
MP2K7_HUMAN	419	human
ACOT8_HUMAN	319	human
CDIPT_HUMAN	213	human
PDCD5_HUMAN	125	human
ANM5_HUMAN	637	human
NHRF1_HUMAN	358	human
TERT_HUMAN	1132	human
H17B6_HUMAN	317	human
CHK1_HUMAN	476	human
TR10B_HUMAN	440	human
GBRD_HUMAN	452	human
MEIS2_HUMAN	477	human
ZN213_HUMAN	459	human
FPGT_HUMAN	607	human
TPP1_HUMAN	563	human
GNB5_HUMAN	395	human
TCRG1_HUMAN	1098	human
NDC80_HUMAN	642	human
KIF3C_HUMAN	793	human
NRP1_HUMAN	923	human
TNPO2_HUMAN	897	human
TNF11_HUMAN	317	human
APOL1_HUMAN	398	human
HS3S1_HUMAN	307	human
GDF8_HUMAN	375	human
UN13B_HUMAN	1591	human
SH21B_HUMAN	132	human
TR10C_HUMAN	259	human
RPC1_HUMAN	1390	human
TAAR5_HUMAN	337	human
RASM_HUMAN	208	human
CPLX1_HUMAN	134	human
PHX2A_HUMAN	284	human
CAN9_HUMAN	690	human
TSN4_HUMAN	238	human
PSA7_HUMAN	248	human
RGRF2_HUMAN	1237	human
SCAM3_HUMAN	347	human
PPE1_HUMAN	653	human
PPE2_HUMAN	753	human
PAHX_HUMAN	338	human
TR13B_HUMAN	293	human
FFAR1_HUMAN	300	human
FFAR3_HUMAN	346	human
AIM2_HUMAN	343	human
ZNT4_HUMAN	429	human
BACH1_HUMAN	736	human
BCKD_HUMAN	412	human
IFIT3_HUMAN	490	human
MGST3_HUMAN	152	human
GEMI2_HUMAN	280	human
T4S5_HUMAN	197	human
IRF6_HUMAN	467	human
KLF11_HUMAN	512	human
WNT9A_HUMAN	365	human
WNT9B_HUMAN	357	human
TX1B3_HUMAN	124	human
GIPC1_HUMAN	333	human
LIN7A_HUMAN	233	human
PCD17_HUMAN	1159	human
IKKB_HUMAN	756	human
RGS12_HUMAN	1447	human
TIM23_HUMAN	209	human
FSCN2_HUMAN	492	human
HAT1_HUMAN	419	human
NCTR3_HUMAN	201	human
UB2L6_HUMAN	153	human
CSKP_HUMAN	926	human
PLD2_HUMAN	933	human
EREG_HUMAN	169	human
TFEC_HUMAN	347	human
QCR8_HUMAN	82	human
ML12B_HUMAN	172	human
CASQ2_HUMAN	399	human
LECT2_HUMAN	151	human
HGS_HUMAN	777	human
AURKA_HUMAN	403	human
RAB7L_HUMAN	203	human
CLGN_HUMAN	610	human
VP26C_HUMAN	297	human
MYPT1_HUMAN	1030	human
S27A2_HUMAN	620	human
GAK_HUMAN	1311	human
AZIN1_HUMAN	448	human
ZN263_HUMAN	683	human
HNRDL_HUMAN	420	human
XPO1_HUMAN	1071	human
BTAF1_HUMAN	1849	human
AT2A1_HUMAN	1001	human
PI51B_HUMAN	540	human
SYN3_HUMAN	580	human
ARHGA_HUMAN	1369	human
ZN609_HUMAN	1411	human
ZN646_HUMAN	1832	human
PDZD2_HUMAN	2839	human
SPTN2_HUMAN	2390	human
MAST4_HUMAN	2623	human
SC16A_HUMAN	2357	human
PLXB2_HUMAN	1838	human
AREL1_HUMAN	823	human
TCPR2_HUMAN	1411	human
SEM3E_HUMAN	775	human
SR140_HUMAN	1029	human
SET1A_HUMAN	1707	human
N4BP3_HUMAN	544	human
KDM6B_HUMAN	1643	human
PER2_HUMAN	1255	human
SYNJ2_HUMAN	1496	human
ZBT39_HUMAN	712	human
SYNEM_HUMAN	1565	human
ZBTB5_HUMAN	677	human
KIF3B_HUMAN	747	human
PUR4_HUMAN	1338	human
MCF2L_HUMAN	1137	human
ATS3_HUMAN	1205	human
DCLK1_HUMAN	740	human
CE290_HUMAN	2479	human
SNPH_HUMAN	494	human
ERC2_HUMAN	957	human
ANR28_HUMAN	1053	human
ARHGB_HUMAN	1522	human
MRPP3_HUMAN	583	human
SMAD7_HUMAN	426	human
IKKA_HUMAN	745	human
LSM1_HUMAN	133	human
FYB1_HUMAN	783	human
NPC1_HUMAN	1278	human
TBX3_HUMAN	743	human
PLCB_HUMAN	278	human
DEGS1_HUMAN	323	human
ANGP2_HUMAN	496	human
SCAM1_HUMAN	338	human
SCAM2_HUMAN	329	human
NPFF_HUMAN	113	human
IMA6_HUMAN	539	human
ARC1B_HUMAN	372	human
ARPC2_HUMAN	300	human
ARPC3_HUMAN	178	human
MUSK_HUMAN	869	human
MDM4_HUMAN	490	human
BET1_HUMAN	118	human
ZBT7B_HUMAN	539	human
RPAC1_HUMAN	346	human
PLS1_HUMAN	318	human
TIF1A_HUMAN	1050	human
LRAD4_HUMAN	306	human
AXIN1_HUMAN	862	human
PGRC2_HUMAN	223	human
TBXT_HUMAN	435	human
CETN3_HUMAN	167	human
CTDSL_HUMAN	276	human
VILL_HUMAN	856	human
EPHB6_HUMAN	1021	human
SMAD9_HUMAN	467	human
ADEC1_HUMAN	470	human
UBD_HUMAN	165	human
ZBT22_HUMAN	634	human
RGL2_HUMAN	777	human
PFD6_HUMAN	129	human
WDR46_HUMAN	610	human
GSTA4_HUMAN	222	human
NKRF_HUMAN	690	human
GNPAT_HUMAN	680	human
KMO_HUMAN	486	human
LAMA5_HUMAN	3695	human
ZN185_HUMAN	689	human
MATN3_HUMAN	486	human
CASC3_HUMAN	703	human
NDUA1_HUMAN	70	human
VGF_HUMAN	615	human
OBRG_HUMAN	131	human
S22A2_HUMAN	555	human
S22A1_HUMAN	554	human
CLIC2_HUMAN	247	human
ACOX3_HUMAN	700	human
RER1_HUMAN	196	human
NPHP1_HUMAN	732	human
SURF4_HUMAN	269	human
DFB4A_HUMAN	64	human
MK13_HUMAN	365	human
ATX7_HUMAN	892	human
SHOX_HUMAN	292	human
SPTC1_HUMAN	473	human
SPTC2_HUMAN	562	human
TELT_HUMAN	167	human
FANCG_HUMAN	622	human
OGT1_HUMAN	1046	human
LX15B_HUMAN	676	human
PPM1D_HUMAN	605	human
GRM6_HUMAN	877	human
SIVA_HUMAN	175	human
PMM2_HUMAN	246	human
RA51B_HUMAN	384	human
RPC7_HUMAN	223	human
INP4B_HUMAN	924	human
VA0E1_HUMAN	81	human
TRI18_HUMAN	667	human
HMGB3_HUMAN	200	human
P73_HUMAN	636	human
FOXN1_HUMAN	648	human
GPR37_HUMAN	613	human
PPM1G_HUMAN	546	human
SHIP2_HUMAN	1258	human
FANCA_HUMAN	1455	human
SOX12_HUMAN	315	human
EIF3D_HUMAN	548	human
EIF3H_HUMAN	352	human
MOT5_HUMAN	487	human
HDAC3_HUMAN	428	human
NVL_HUMAN	856	human
BCAT2_HUMAN	392	human
SIGL5_HUMAN	551	human
TYY2_HUMAN	372	human
BIRC5_HUMAN	142	human
TMPS2_HUMAN	492	human
NCAM2_HUMAN	837	human
IPO8_HUMAN	1037	human
NMDE4_HUMAN	1336	human
STX7_HUMAN	261	human
TOX3_HUMAN	576	human
FOXP2_HUMAN	715	human
MOT4_HUMAN	465	human
COPT1_HUMAN	190	human
COPT2_HUMAN	143	human
MRP3_HUMAN	1527	human
MRP4_HUMAN	1325	human
MRP5_HUMAN	1437	human
CCL25_HUMAN	150	human
RPA34_HUMAN	510	human
TLR3_HUMAN	904	human
MSH4_HUMAN	936	human
P4HA2_HUMAN	535	human
SIA8E_HUMAN	376	human
CCL16_HUMAN	120	human
MAGB2_HUMAN	319	human
MAGB4_HUMAN	346	human
CAN5_HUMAN	640	human
GLYG2_HUMAN	501	human
RGS16_HUMAN	202	human
PA2GX_HUMAN	165	human
YKT6_HUMAN	198	human
GSC2_HUMAN	205	human
INSI1_HUMAN	277	human
NUP42_HUMAN	423	human
ARPC5_HUMAN	151	human
RPB4_HUMAN	142	human
CLOCK_HUMAN	846	human
CFLAR_HUMAN	480	human
FGF10_HUMAN	208	human
NKX28_HUMAN	239	human
DDX3Y_HUMAN	660	human
SOCS1_HUMAN	211	human
MAFG_HUMAN	162	human
OGG1_HUMAN	345	human
CP27B_HUMAN	508	human
GPR42_HUMAN	346	human
PDPK1_HUMAN	556	human
TPSN_HUMAN	448	human
PER1_HUMAN	1290	human
ZSC9_HUMAN	394	human
XLRS1_HUMAN	224	human
FABP7_HUMAN	132	human
R113A_HUMAN	343	human
P2RX6_HUMAN	441	human
KDM6A_HUMAN	1401	human
CLD3_HUMAN	220	human
FFAR2_HUMAN	330	human
MEFV_HUMAN	781	human
KCNN4_HUMAN	427	human
ENK18_HUMAN	560	human
DHX15_HUMAN	795	human
SGSM2_HUMAN	1006	human
MCES_HUMAN	476	human
ZZEF1_HUMAN	2961	human
ASAP2_HUMAN	1006	human
TET3_HUMAN	1795	human
FLRT2_HUMAN	660	human
TTI1_HUMAN	1089	human
PLXB1_HUMAN	2135	human
RRP8_HUMAN	456	human
PJA2_HUMAN	708	human
SI1L1_HUMAN	1804	human
ZBT24_HUMAN	697	human
CYB5B_HUMAN	150	human
PRP4_HUMAN	522	human
SIA8C_HUMAN	380	human
CP26A_HUMAN	497	human
SERA_HUMAN	533	human
NDUS4_HUMAN	175	human
RHG06_HUMAN	974	human
ADA12_HUMAN	909	human
CRX_HUMAN	299	human
IRAK2_HUMAN	625	human
PHF1_HUMAN	567	human
MTLR_HUMAN	412	human
GPR39_HUMAN	453	human
MSH5_HUMAN	834	human
SEPT4_HUMAN	478	human
DC1L2_HUMAN	492	human
KLK10_HUMAN	276	human
PSMD3_HUMAN	534	human
HXC11_HUMAN	304	human
RFOX2_HUMAN	390	human
PAPS1_HUMAN	624	human
SIAH2_HUMAN	324	human
ZNHI1_HUMAN	154	human
ZW10_HUMAN	779	human
PROD_HUMAN	600	human
SPIT1_HUMAN	529	human
TREA_HUMAN	583	human
EFS_HUMAN	561	human
M3K13_HUMAN	966	human
B4GT5_HUMAN	388	human
SNUT1_HUMAN	800	human
SPIT2_HUMAN	252	human
GPAA1_HUMAN	621	human
DAPK3_HUMAN	454	human
TGFI1_HUMAN	461	human
SRGP3_HUMAN	1099	human
ZN264_HUMAN	627	human
ZBT43_HUMAN	467	human
AP5Z1_HUMAN	807	human
LRRT2_HUMAN	516	human
CP110_HUMAN	1012	human
ADCY6_HUMAN	1168	human
ARHG9_HUMAN	516	human
ZSC12_HUMAN	611	human
CTIF_HUMAN	598	human
MTSS1_HUMAN	755	human
ATMIN_HUMAN	823	human
VIP2_HUMAN	1243	human
AQP9_HUMAN	295	human
PAX4_HUMAN	350	human
M3K7_HUMAN	606	human
FGF16_HUMAN	207	human
DHH_HUMAN	396	human
MCA3_HUMAN	174	human
RIPK2_HUMAN	540	human
HXA2_HUMAN	376	human
HXA3_HUMAN	443	human
RASL2_HUMAN	803	human
WDR62_HUMAN	1518	human
HNRPR_HUMAN	633	human
PRPF3_HUMAN	683	human
TXNL1_HUMAN	289	human
TPD54_HUMAN	206	human
EMC8_HUMAN	210	human
COCH_HUMAN	550	human
P52K_HUMAN	761	human
GRID2_HUMAN	1007	human
SYNJ1_HUMAN	1573	human
FIBP_HUMAN	364	human
IF4G3_HUMAN	1585	human
TBX1_HUMAN	398	human
MTG8R_HUMAN	604	human
PPIH_HUMAN	177	human
KCAB3_HUMAN	404	human
MGA_HUMAN	2753	human
MBTP2_HUMAN	519	human
SUV91_HUMAN	412	human
HTRA2_HUMAN	458	human
KLF4_HUMAN	513	human
MS18B_HUMAN	229	human
ARK72_HUMAN	359	human
PROM1_HUMAN	865	human
E41L2_HUMAN	1005	human
TGON2_HUMAN	437	human
CAC1G_HUMAN	2377	human
RA51C_HUMAN	376	human
LTOR5_HUMAN	91	human
B4GA1_HUMAN	415	human
ADA20_HUMAN	726	human
TNF12_HUMAN	249	human
S26A4_HUMAN	780	human
MED7_HUMAN	233	human
WIPF1_HUMAN	503	human
AT8B1_HUMAN	1251	human
B2L11_HUMAN	198	human
FOXO3_HUMAN	673	human
KCNQ3_HUMAN	872	human
KCNQ2_HUMAN	872	human
CHSTA_HUMAN	356	human
SMAD6_HUMAN	496	human
XRCC3_HUMAN	346	human
XRCC2_HUMAN	280	human
TGM5_HUMAN	720	human
SGCE_HUMAN	437	human
TNF14_HUMAN	240	human
FRS3_HUMAN	492	human
LAT_HUMAN	262	human
RGS14_HUMAN	566	human
RNF13_HUMAN	381	human
CAH12_HUMAN	354	human
AKA10_HUMAN	662	human
SYT7_HUMAN	403	human
DENR_HUMAN	198	human
PPIP1_HUMAN	416	human
XPOT_HUMAN	962	human
HAIR_HUMAN	1189	human
SPY2_HUMAN	315	human
DNPH1_HUMAN	174	human
DCX_HUMAN	365	human
GALR2_HUMAN	387	human
SPY1_HUMAN	319	human
SPY3_HUMAN	288	human
OREX_HUMAN	131	human
OX1R_HUMAN	425	human
OX2R_HUMAN	444	human
TIM44_HUMAN	452	human
TPPC3_HUMAN	180	human
SNAI2_HUMAN	268	human
CHM2A_HUMAN	222	human
NCK2_HUMAN	380	human
PSCA_HUMAN	114	human
PLRG1_HUMAN	514	human
PRC1_HUMAN	620	human
RGS10_HUMAN	181	human
ZN207_HUMAN	478	human
NDUB5_HUMAN	189	human
NDUB3_HUMAN	98	human
NDUA2_HUMAN	99	human
LDB2_HUMAN	373	human
TCF21_HUMAN	179	human
GET3_HUMAN	348	human
BUB1_HUMAN	1085	human
BUB3_HUMAN	328	human
AKA7A_HUMAN	104	human
PLPP2_HUMAN	288	human
SIGL6_HUMAN	453	human
ST1B1_HUMAN	296	human
ACTN4_HUMAN	911	human
MAAI_HUMAN	216	human
BUD23_HUMAN	281	human
TLX3_HUMAN	291	human
TRIA1_HUMAN	76	human
GATC_HUMAN	136	human
HTSF1_HUMAN	755	human
ERD23_HUMAN	214	human
CIKS_HUMAN	574	human
CYH3_HUMAN	400	human
AAKB2_HUMAN	272	human
CHP2_HUMAN	196	human
AP1G1_HUMAN	822	human
OR1F1_HUMAN	312	human
STX6_HUMAN	255	human
SNG1_HUMAN	233	human
SNG2_HUMAN	224	human
SNG3_HUMAN	229	human
TLX2_HUMAN	284	human
SGTA_HUMAN	313	human
LIAS_HUMAN	372	human
ENSA_HUMAN	121	human
MCAT_HUMAN	301	human
SYNC_HUMAN	548	human
DYRK3_HUMAN	588	human
KRT86_HUMAN	486	human
SPOP_HUMAN	374	human
MYO1B_HUMAN	1136	human
SSNA1_HUMAN	119	human
PM34_HUMAN	307	human
CPSF5_HUMAN	227	human
LANC1_HUMAN	399	human
STRN_HUMAN	780	human
U3IP2_HUMAN	475	human
SCO2_HUMAN	266	human
HYAL3_HUMAN	417	human
CF410_HUMAN	256	human
AKAP8_HUMAN	692	human
B3GT2_HUMAN	422	human
G6PT1_HUMAN	429	human
ANGL7_HUMAN	346	human
ZBT14_HUMAN	449	human
IDH3B_HUMAN	385	human
NRDC_HUMAN	1151	human
CALU_HUMAN	315	human
EDIL3_HUMAN	480	human
ATP9B_HUMAN	1147	human
SAHH2_HUMAN	530	human
